@relation ACM_Classifier

@attribute name string
@attribute occurrence numeric
@attribute category {Applied_computing,Computer_systems_organization,Computing_and_methodologies,Data,General_and_reference,Hardware,Information_systems,Mathematics_of_computing,Social_and_professional_topics,Software_and_its_engineering,Theory_of_computation}

@data
point,2,Applied_computing
network,3,Applied_computing
coars,1,Applied_computing
public,5,Applied_computing
along,1,Applied_computing
parallel,5,Applied_computing
parameter,1,Applied_computing
dissemin,1,Applied_computing
provid,2,Applied_computing
profit,1,Applied_computing
gama,2,Applied_computing
inc,1,Applied_computing
facil,1,Applied_computing
process,3,Applied_computing
nimbl,3,Applied_computing
overal,3,Applied_computing
weinhardt,2,Applied_computing
intens,1,Applied_computing
chimaera,2,Applied_computing
cnico,1,Applied_computing
instead,1,Applied_computing
differ,1,Applied_computing
round,1,Applied_computing
build,1,Applied_computing
york,1,Applied_computing
cumbersom,1,Applied_computing
front,1,Applied_computing
mahlk,1,Applied_computing
